Application,File,RoutePage,Component,String,StringType,CurrentSource,ExistingLocalizationKey,RequiredAction
"apps/admin","Frontend/apps/admin/src/layout/TopBar.tsx","","","Sign out","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/client.ts","","","Session expired. Please sign in again.","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/client.ts","","","Session expired. Please sign in again.","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/client.ts","","","Request failed","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Open a shift first / افتح وردية أولاً","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","ProblemDetails title should be code","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Open a shift","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","detail should be display message","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Invalid gym code.","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Invalid gym code.","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","ad-hoc error field","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Not found","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","Not found","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","ad-hoc message field","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.selftest.ts","","","errors.selftest: OK","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.ts","","","Request failed","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.ts","","","Request failed","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.ts","","","Request failed","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/api/errors.ts","","","Something went wrong","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","Open a shift first / افتح وردية أولاً","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","Open a shift first","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","en side","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","ar side","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","ar pick","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","Open a shift first","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","en pick","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","explicit fields","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","catalog en","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","catalog ar","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/i18n/bilingual.selftest.ts","","","bilingual.selftest: OK","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/impersonation-handoff.ts","","",").replace(/_/g, ","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/impersonation-handoff.ts","","","Support session","A","string-literal","","localize"
"apps/admin","Frontend/apps/admin/src/lib/permissions.ts","","",").replace(/_/g, ","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/App.tsx","",""," element={<Navigate to=","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/App.tsx","",""," element={<Navigate to=","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","s own production components against this app","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","Badges (real render)","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","renders a known tier label","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","renders a known status label with underscores replaced","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","past due","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","renders a risk band label uppercased via CSS, text content unchanged","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","at risk","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.test.tsx","","","renders a placeholder for a missing value instead of crashing","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-800 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-blue-50 text-blue-800 ring-1 ring-blue-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-violet-50 text-violet-800 ring-1 ring-violet-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-amber-50 text-amber-900 ring-1 ring-amber-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-blue-50 text-blue-800 ring-1 ring-blue-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-emerald-50 text-emerald-800 ring-1 ring-emerald-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-amber-50 text-amber-900 ring-1 ring-amber-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-red-50 text-red-800 ring-1 ring-red-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-600 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-blue-50 text-blue-800 ring-1 ring-blue-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-emerald-50 text-emerald-800 ring-1 ring-emerald-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-red-50 text-red-800 ring-1 ring-red-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-600 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-emerald-50 text-emerald-800 ring-1 ring-emerald-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-800 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-amber-50 text-amber-900 ring-1 ring-amber-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-red-50 text-red-800 ring-1 ring-red-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-800 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-800 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/Badges.tsx","","","bg-gray-100 text-gray-800 ring-1 ring-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","flex flex-col gap-3 p-5","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","text-lg font-semibold text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","text-sm text-gray-700","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","rounded border border-red-200 bg-red-50 px-3 py-2 text-sm text-red-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","mt-1 flex justify-end gap-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","rounded-[var(--radius)] border border-gray-300 px-3 py-1.5 text-sm text-gray-700 hover:bg-gray-50 disabled:opacity-50","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","bg-red-600 text-white hover:bg-red-700","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ConfirmDialog.tsx","","","bg-blue-600 text-white hover:bg-blue-700","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ImpersonationSessionBanner.tsx","","","flex flex-wrap items-center justify-between gap-2 border-b border-amber-200 bg-amber-50 px-4 py-2 text-sm text-amber-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ImpersonationSessionBanner.tsx","","","rounded border border-amber-300 px-2 py-0.5 text-xs text-amber-900 hover:bg-amber-100","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/InternalStrip.tsx","","","font-semibold text-blue-600","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/InternalStrip.tsx","","","hidden sm:inline text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/OtpInput.tsx","","","One-time code","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/OtpInput.tsx","","",").slice(0, length).split(","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/OtpInput.tsx","","","flex gap-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.test.ts","","","is ""all"" for an empty value","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.test.ts","","","recognizes the exact 7-day and 30-day thresholds","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.test.ts","","","falls back to ""custom"" for any other date","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","7 days","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","30 days","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","flex flex-wrap items-center gap-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","flex gap-1 rounded-[var(--radius)] border border-gray-200 bg-white p-0.5 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","flex items-center gap-1.5 text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/RenewalFilter.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-2 py-1 text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ToastHost.tsx","","","border-red-200 bg-red-50 text-red-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ToastHost.tsx","","","border-emerald-200 bg-emerald-50 text-emerald-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/components/ToastHost.tsx","","","border-gray-200 bg-white text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Audit Log","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Tenant ID","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Action","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","From","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Timestamp","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Tenant","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Action","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Actor","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Details","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-4","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","text-2xl font-semibold text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-3 rounded-[var(--radius)] border border-gray-200 bg-white p-4","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","grid gap-3 sm:grid-cols-2 lg:grid-cols-5","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Paste a tenant GUID","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","e.g. platform.tenant.force_suspend","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Filter loaded rows","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","text-xs text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","overflow-x-auto rounded-[var(--radius)] border border-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","min-w-full text-left text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","bg-gray-50 text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 font-medium","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 font-medium","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 font-medium","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 font-medium","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 font-medium","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","border-t border-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","h-4 animate-pulse rounded bg-gray-200","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-8 text-center text-red-600","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","Failed to load the audit log.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-8 text-center text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","border-t border-gray-200 align-top","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 whitespace-nowrap text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","text-blue-600 underline-offset-2 hover:underline","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","font-[var(--mono)] text-[10px] text-gray-400","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","font-[var(--mono)] text-xs text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","px-3 py-2 text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex items-center justify-between text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","",""," · updating…","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","flex gap-2","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded border border-gray-200 px-3 py-1 disabled:opacity-40","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/audit/AuditLogPage.tsx","","","rounded border border-gray-200 px-3 py-1 disabled:opacity-40","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","Ops User","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","auth state machine","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","routes login → mfa_setup_required into setup phase without access token","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","routes login → MFA_REQUIRED into challenge phase","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","successful enrollment/challenge → authenticated","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/auth-store.test.ts","","","logout clears memory token","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Sign in","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Email","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Password","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Invalid email or password.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Unable to reach the platform API. Check the API is running.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","mx-auto flex max-w-md flex-col gap-6 px-4 py-16","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","text-2xl font-semibold text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","mt-2 text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","flex flex-col gap-4 rounded-[var(--radius)] border border-gray-200 bg-white p-6","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2 text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","flex flex-col gap-1 text-sm","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","rounded-[var(--radius)] border border-gray-300 bg-white px-3 py-2 text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","rounded-[var(--radius)] border border-red-200 bg-red-50 px-3 py-2 text-sm text-red-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","rounded-[var(--radius)] bg-blue-600 px-4 py-2 font-medium text-white hover:bg-blue-700 disabled:opacity-60","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/LoginPage.tsx","","","Signing in…","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","Enter authenticator code","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","Incorrect code — check your authenticator app and try again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","Authentication failed. Please try again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","Unable to verify code. Please try again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","mx-auto flex max-w-md flex-col gap-6 px-4 py-12","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","text-2xl font-semibold text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","mt-2 text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","flex flex-col gap-4 rounded-[var(--radius)] border border-gray-200 bg-white p-6","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","text-xs text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","rounded-[var(--radius)] border border-red-200 bg-red-50 px-3 py-2 text-sm text-red-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","rounded-[var(--radius)] bg-blue-600 px-4 py-2 font-medium text-white hover:bg-blue-700 disabled:opacity-60","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaChallengePage.tsx","","","text-center text-sm text-gray-500 underline","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","Set up authenticator","A","jsx-text","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","This setup link expired. Please log in again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","Incorrect code — check your authenticator app and try again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","Unable to complete MFA setup. Please try again.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","mx-auto flex max-w-lg flex-col gap-6 px-4 py-12","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","text-2xl font-semibold text-gray-900","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","mt-2 text-sm text-gray-500","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","rounded-[var(--radius)] border border-gray-200 bg-white p-6","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","mb-4 flex justify-center rounded bg-white p-4","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","mb-4 text-sm text-gray-700","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","select-all rounded bg-white px-2 py-1 font-[var(--mono)] text-blue-600","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","flex flex-col gap-4","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","rounded-[var(--radius)] border border-red-200 bg-red-50 px-3 py-2 text-sm text-red-800","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","rounded-[var(--radius)] bg-blue-600 px-4 py-2 font-medium text-white hover:bg-blue-700 disabled:opacity-60","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/MfaSetupPage.tsx","","","Enable MFA & continue","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/route-guards.test.ts","","","route protection","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/route-guards.test.ts","","","unauthenticated /tenants redirects to login","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/route-guards.test.ts","","","mfa setup incomplete cannot reach tenants","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/route-guards.test.ts","","","mfa challenge incomplete cannot reach tenants","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/auth/route-guards.test.ts","","","authenticated reaches tenants","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/metrics/metrics.msw.test.ts","","","from and to (yyyy-MM-dd) are required.","A","string-literal","","localize"
"apps/platform-console","Frontend/apps/platform-console/src/features/metrics/metrics.msw.test.ts","","","from and to (yyyy-MM-dd) are required.","A","string-literal","","localize"
